Ciudad,Categoría del problema,Categoria numerica,Nivel de urgencia,Fecha del reporte
Bogotá,Salud,1,2,2024-02-05
Manizales,Educación,2,4,2023-01-24
Barranquilla,Seguridad,3,4,2023-06-03
Bogotá,Seguridad,3,1,2023-05-25
Cali,Salud,1,1,2023-12-08
Pereira,Medio Ambiente,4,1,2024-05-04
Bucaramanga,Medio Ambiente,4,4,2023-05-11
Bogotá,Educación,2,1,2024-08-02
Barranquilla,Educación,2,1,2024-11-19
Cúcuta,Medio Ambiente,4,2,2023-04-23
Cúcuta,Seguridad,3,2,2023-04-09
Manizales,Salud,1,4,2024-07-15
Santa Marta,Medio Ambiente,4,4,2023-06-07
Cali,Seguridad,3,3,2023-03-17
Bucaramanga,Educación,2,3,2023-09-13
Bogotá,Medio Ambiente,4,1,2023-10-03
Bogotá,Medio Ambiente,4,4,2024-09-29
Medellín,Medio Ambiente,4,2,2024-02-12
Cali,Medio Ambiente,4,3,2024-03-05
Cartagena,Medio Ambiente,4,1,2024-11-13
Cartagena,Educación,2,2,2023-05-25
Cartagena,Seguridad,3,2,2024-07-10
Santa Marta,Educación,2,4,2023-11-26
Barranquilla,Salud,1,2,2024-11-06
Medellín,Educación,2,3,2024-07-27
Cali,Medio Ambiente,4,2,2024-03-08
Cúcuta,Salud,1,2,2024-05-31
Cartagena,Educación,2,3,2023-05-18
Cúcuta,Salud,1,2,2023-06-14
Barranquilla,Seguridad,3,2,2023-05-29
Manizales,Medio Ambiente,4,1,2023-10-30
Cali,Medio Ambiente,4,1,2024-06-10
Pereira,Medio Ambiente,4,3,2023-11-24
Barranquilla,Educación,2,2,2023-08-03
Medellín,Medio Ambiente,4,4,2024-01-19
Santa Marta,Salud,1,1,2023-09-16
Cartagena,Salud,1,3,2024-06-30
Cali,Educación,2,2,2023-01-11
Pereira,Educación,2,2,2024-08-20
Bucaramanga,Educación,2,1,2024-05-11
Cali,Seguridad,3,4,2024-11-30
Santa Marta,Medio Ambiente,4,1,2023-06-19
Bogotá,Educación,2,4,2023-11-06
Santa Marta,Seguridad,3,4,2023-03-12
Barranquilla,Medio Ambiente,4,3,2023-06-06
Bogotá,Salud,1,4,2023-12-24
Santa Marta,Medio Ambiente,4,2,2024-02-18
Medellín,Educación,2,2,2023-07-25
Bogotá,Educación,2,4,2023-10-10
Bucaramanga,Medio Ambiente,4,1,2024-01-24
Cúcuta,Salud,1,2,2023-01-25
Cartagena,Seguridad,3,2,2023-08-13
Cartagena,Seguridad,3,4,2024-06-03
Manizales,Medio Ambiente,4,1,2024-05-16
Manizales,Educación,2,1,2023-10-29
Bogotá,Medio Ambiente,4,2,2024-07-02
Cali,Educación,2,1,2023-03-29
Pereira,Salud,1,4,2023-09-25
Pereira,Seguridad,3,4,2024-08-03
Bucaramanga,Educación,2,4,2024-02-06
Barranquilla,Seguridad,3,3,2023-09-26
Cartagena,Seguridad,3,2,2024-01-06
Bogotá,Salud,1,1,2024-02-21
Cúcuta,Educación,2,4,2023-08-04
Pereira,Seguridad,3,2,2024-04-26
Bucaramanga,Educación,2,2,2023-08-17
Bogotá,Educación,2,2,2023-02-15
Cartagena,Educación,2,2,2023-10-23
Bogotá,Medio Ambiente,4,1,2023-11-17
Cartagena,Medio Ambiente,4,1,2023-09-13
Barranquilla,Salud,1,3,2023-04-09
Barranquilla,Educación,2,2,2024-07-16
Cúcuta,Salud,1,2,2024-06-11
Bogotá,Seguridad,3,1,2024-05-17
Bucaramanga,Educación,2,3,2024-03-04
Cali,Salud,1,4,2024-02-12
Bogotá,Seguridad,3,2,2023-01-30
Cali,Seguridad,3,1,2024-02-28
Santa Marta,Educación,2,2,2023-04-03
Cúcuta,Seguridad,3,3,2023-09-01
Cúcuta,Medio Ambiente,4,4,2024-07-27
Bogotá,Educación,2,1,2023-11-18
Cartagena,Salud,1,1,2023-05-09
Manizales,Medio Ambiente,4,4,2023-01-18
Barranquilla,Educación,2,2,2024-01-03
Pereira,Seguridad,3,1,2023-11-26
Cartagena,Salud,1,4,2024-04-19
Santa Marta,Salud,1,3,2024-05-08
Bucaramanga,Medio Ambiente,4,3,2024-06-02
Manizales,Educación,2,2,2023-06-30
Cartagena,Medio Ambiente,4,3,2023-09-21
Cartagena,Educación,2,4,2024-04-21
Santa Marta,Medio Ambiente,4,3,2024-08-30
Cartagena,Salud,1,3,2024-05-06
Santa Marta,Medio Ambiente,4,2,2023-12-01
Cúcuta,Medio Ambiente,4,1,2023-12-31
Medellín,Educación,2,2,2023-02-24
Cartagena,Educación,2,2,2023-05-07
Cúcuta,Educación,2,4,2024-04-09
Medellín,Educación,2,4,2024-10-05
Pereira,Educación,2,1,2024-09-24
Cúcuta,Seguridad,3,2,2023-07-08
Cúcuta,Salud,1,3,2023-08-01
Cartagena,Medio Ambiente,4,3,2024-02-26
Cali,Medio Ambiente,4,3,2024-07-28
Manizales,Medio Ambiente,4,2,2024-03-21
Cúcuta,Educación,2,4,2023-06-20
Bucaramanga,Educación,2,1,2023-06-14
Manizales,Medio Ambiente,4,3,2024-11-28
Bucaramanga,Educación,2,1,2024-02-04
Bogotá,Seguridad,3,1,2024-01-30
Pereira,Medio Ambiente,4,2,2024-11-14
Bucaramanga,Seguridad,3,2,2023-04-24
Cali,Educación,2,4,2024-08-14
Santa Marta,Educación,2,3,2023-05-20
Cartagena,Seguridad,3,2,2024-08-15
Cali,Seguridad,3,1,2023-03-07
Manizales,Salud,1,2,2024-11-02
Pereira,Seguridad,3,3,2024-08-19
Bogotá,Salud,1,2,2023-07-24
Barranquilla,Seguridad,3,4,2023-01-09
Cúcuta,Educación,2,1,2023-04-29
Cartagena,Seguridad,3,1,2024-01-13
Cali,Seguridad,3,4,2023-07-26
Medellín,Medio Ambiente,4,3,2024-02-07
Cartagena,Seguridad,3,1,2023-01-04
Cali,Seguridad,3,1,2023-03-17
Bucaramanga,Medio Ambiente,4,4,2023-09-19
Cali,Educación,2,2,2023-02-16
Manizales,Salud,1,1,2024-07-23
Barranquilla,Medio Ambiente,4,4,2024-03-25
Cúcuta,Medio Ambiente,4,3,2024-07-25
Manizales,Educación,2,3,2023-03-27
Cúcuta,Seguridad,3,3,2023-09-01
Santa Marta,Seguridad,3,3,2023-06-11
Manizales,Educación,2,3,2023-09-22
Barranquilla,Seguridad,3,2,2024-08-07
Bogotá,Medio Ambiente,4,2,2023-10-21
Santa Marta,Salud,1,2,2023-04-28
Pereira,Medio Ambiente,4,1,2023-04-08
Barranquilla,Seguridad,3,3,2024-10-23
Manizales,Medio Ambiente,4,1,2024-06-21
Pereira,Educación,2,3,2023-07-05
Bogotá,Medio Ambiente,4,1,2024-01-14
Cartagena,Seguridad,3,1,2024-09-25
Cali,Salud,1,4,2023-04-09
Santa Marta,Educación,2,1,2024-02-26
Manizales,Seguridad,3,1,2023-10-15
Pereira,Educación,2,4,2024-08-26
Bucaramanga,Seguridad,3,2,2023-07-28
Barranquilla,Medio Ambiente,4,4,2024-04-02
Bogotá,Salud,1,3,2023-12-10
Bucaramanga,Educación,2,4,2024-01-29
Medellín,Seguridad,3,4,2023-03-26
Cartagena,Seguridad,3,2,2024-05-13
Cali,Seguridad,3,2,2024-06-14
Manizales,Educación,2,3,2024-07-21
Pereira,Educación,2,3,2023-04-09
Manizales,Educación,2,1,2023-09-28
Medellín,Educación,2,4,2023-03-04
Cartagena,Salud,1,4,2023-05-02
Cúcuta,Medio Ambiente,4,1,2023-08-20
Cúcuta,Educación,2,1,2024-10-15
Bogotá,Educación,2,1,2023-11-03
Medellín,Educación,2,1,2023-12-14
Cúcuta,Seguridad,3,1,2023-09-30
Cúcuta,Educación,2,3,2024-10-27
Cúcuta,Salud,1,1,2023-10-09
Cali,Educación,2,2,2024-09-23
Cartagena,Educación,2,1,2023-11-04
Medellín,Seguridad,3,4,2023-08-28
Barranquilla,Salud,1,4,2024-05-06
Manizales,Medio Ambiente,4,1,2024-08-26
Bogotá,Seguridad,3,4,2024-05-18
Cúcuta,Salud,1,2,2024-01-01
Bogotá,Medio Ambiente,4,3,2023-06-21
Cali,Seguridad,3,3,2023-04-06
Barranquilla,Salud,1,2,2024-07-17
Bucaramanga,Educación,2,1,2024-04-22
Cali,Medio Ambiente,4,2,2023-10-07
Bogotá,Salud,1,2,2024-08-19
Pereira,Medio Ambiente,4,2,2023-12-23
Cartagena,Medio Ambiente,4,4,2023-12-05
Pereira,Educación,2,1,2024-11-05
Santa Marta,Educación,2,3,2023-01-12
Cartagena,Medio Ambiente,4,3,2024-05-19
Bucaramanga,Salud,1,2,2024-01-07
Bogotá,Seguridad,3,1,2024-09-08
Bucaramanga,Medio Ambiente,4,4,2024-06-07
Bogotá,Medio Ambiente,4,4,2024-05-28
Manizales,Educación,2,4,2024-10-24
Manizales,Educación,2,4,2024-06-02
Cartagena,Salud,1,1,2023-01-02
Bogotá,Salud,1,2,2023-01-18
Medellín,Seguridad,3,4,2024-03-30
Barranquilla,Medio Ambiente,4,4,2023-01-18
Cali,Medio Ambiente,4,2,2023-12-01
Manizales,Seguridad,3,4,2024-07-19
Cartagena,Educación,2,1,2024-09-03
Barranquilla,Salud,1,2,2023-10-02
Cali,Educación,2,4,2024-04-07
Santa Marta,Medio Ambiente,4,3,2024-08-16
Santa Marta,Medio Ambiente,4,3,2023-04-18
Medellín,Educación,2,2,2024-06-19
Barranquilla,Salud,1,3,2023-11-06
Barranquilla,Medio Ambiente,4,3,2024-05-09
Cúcuta,Seguridad,3,3,2023-10-19
Bucaramanga,Medio Ambiente,4,3,2023-12-04
Bogotá,Educación,2,3,2023-01-08
Medellín,Seguridad,3,4,2023-06-02
Bucaramanga,Salud,1,3,2023-04-25
Barranquilla,Medio Ambiente,4,1,2023-12-06
Cali,Seguridad,3,4,2023-09-07
Cúcuta,Educación,2,1,2023-12-05
Pereira,Educación,2,3,2024-08-17
Bucaramanga,Seguridad,3,4,2023-02-11
Pereira,Seguridad,3,2,2024-04-11
Pereira,Medio Ambiente,4,1,2023-07-09
Bucaramanga,Seguridad,3,1,2024-11-07
Medellín,Medio Ambiente,4,4,2024-10-31
Barranquilla,Medio Ambiente,4,3,2023-07-17
Cartagena,Seguridad,3,2,2024-05-14
Pereira,Medio Ambiente,4,2,2024-02-24
Manizales,Seguridad,3,1,2024-03-29
Medellín,Seguridad,3,4,2023-04-29
Cúcuta,Salud,1,1,2023-06-13
Cali,Educación,2,4,2023-07-01
Bogotá,Medio Ambiente,4,4,2024-11-03
Cali,Seguridad,3,1,2024-07-30
Cúcuta,Medio Ambiente,4,1,2024-02-06
Barranquilla,Seguridad,3,4,2023-10-08
Cartagena,Salud,1,1,2024-09-19
Cúcuta,Salud,1,1,2023-09-20
Barranquilla,Salud,1,3,2023-04-13
Bucaramanga,Salud,1,3,2023-05-11
Cali,Medio Ambiente,4,2,2024-10-12
Cúcuta,Medio Ambiente,4,3,2023-11-10
Cartagena,Educación,2,4,2024-08-14
Santa Marta,Medio Ambiente,4,4,2024-07-12
Bogotá,Educación,2,3,2023-03-03
Bogotá,Seguridad,3,1,2024-10-06
Santa Marta,Educación,2,1,2023-09-01
Cali,Medio Ambiente,4,3,2023-09-26
Cúcuta,Salud,1,2,2023-05-07
Barranquilla,Seguridad,3,1,2024-07-01
Medellín,Salud,1,1,2024-07-26
Cartagena,Seguridad,3,4,2024-03-19
Barranquilla,Salud,1,4,2023-08-02
Barranquilla,Seguridad,3,1,2023-03-20
Cartagena,Seguridad,3,4,2024-09-07
Cúcuta,Seguridad,3,4,2024-02-14
Bogotá,Salud,1,4,2023-03-28
Bogotá,Salud,1,1,2024-08-20
Medellín,Seguridad,3,2,2023-08-19
Pereira,Educación,2,3,2024-07-06
Cúcuta,Medio Ambiente,4,4,2023-10-01
Bogotá,Medio Ambiente,4,2,2024-08-29
Santa Marta,Educación,2,3,2023-12-09
Cúcuta,Salud,1,3,2023-01-25
Barranquilla,Salud,1,4,2024-06-28
Barranquilla,Educación,2,1,2023-05-17
Bogotá,Medio Ambiente,4,3,2023-06-14
Cali,Seguridad,3,4,2023-03-09
Bucaramanga,Seguridad,3,2,2023-04-24
Bucaramanga,Medio Ambiente,4,4,2024-01-02
Barranquilla,Salud,1,3,2023-04-18
Bogotá,Seguridad,3,1,2023-06-09
Medellín,Seguridad,3,3,2023-08-30
Cúcuta,Seguridad,3,1,2023-02-23
Bucaramanga,Educación,2,2,2024-03-15
Manizales,Educación,2,3,2023-04-11
Barranquilla,Medio Ambiente,4,1,2023-03-13
Manizales,Salud,1,3,2023-02-26
Pereira,Medio Ambiente,4,1,2024-10-11
Santa Marta,Salud,1,4,2024-03-05
Santa Marta,Educación,2,4,2023-03-14
Cúcuta,Seguridad,3,3,2024-03-25
Pereira,Seguridad,3,3,2023-07-06
Medellín,Educación,2,3,2024-10-22
Santa Marta,Seguridad,3,1,2024-04-25
Medellín,Medio Ambiente,4,4,2024-08-13
Pereira,Educación,2,2,2024-03-09
Medellín,Medio Ambiente,4,1,2023-03-06
Bogotá,Educación,2,1,2024-11-24
Santa Marta,Seguridad,3,4,2023-04-26
Bucaramanga,Educación,2,3,2024-05-25
Medellín,Salud,1,3,2023-05-18
Manizales,Educación,2,3,2023-05-31
Santa Marta,Salud,1,3,2023-11-02
Barranquilla,Educación,2,4,2024-03-24
Cali,Medio Ambiente,4,3,2023-07-04
Cali,Educación,2,2,2023-11-16
Santa Marta,Medio Ambiente,4,3,2023-10-16
Santa Marta,Medio Ambiente,4,4,2024-10-22
Cali,Medio Ambiente,4,3,2023-04-08
Medellín,Educación,2,3,2024-06-13
Santa Marta,Educación,2,3,2023-06-11
Pereira,Medio Ambiente,4,2,2024-11-13
Cúcuta,Seguridad,3,3,2023-05-26
Barranquilla,Educación,2,1,2023-06-30
Pereira,Medio Ambiente,4,3,2023-12-17
Cartagena,Salud,1,2,2023-01-05
Bogotá,Seguridad,3,3,2024-02-02
Santa Marta,Salud,1,4,2023-08-23
Barranquilla,Educación,2,1,2023-06-12
Barranquilla,Medio Ambiente,4,2,2023-05-01
Pereira,Seguridad,3,4,2023-01-22
Cartagena,Educación,2,2,2024-04-15
Santa Marta,Medio Ambiente,4,1,2023-03-28
Cúcuta,Salud,1,2,2024-10-21
Cúcuta,Seguridad,3,4,2024-10-12
Bogotá,Medio Ambiente,4,4,2024-05-03
Cali,Medio Ambiente,4,2,2024-08-05
Barranquilla,Educación,2,4,2023-09-13
Santa Marta,Salud,1,4,2024-10-20
Bucaramanga,Salud,1,2,2024-10-06
Bucaramanga,Educación,2,3,2024-06-24
Cali,Seguridad,3,4,2023-02-05
Cúcuta,Medio Ambiente,4,3,2024-02-15
Cúcuta,Seguridad,3,1,2023-05-03
Cartagena,Educación,2,3,2023-12-29
Santa Marta,Salud,1,1,2023-05-08
Santa Marta,Educación,2,2,2023-06-25
Cartagena,Salud,1,2,2024-01-01
Bogotá,Medio Ambiente,4,2,2024-06-03
Pereira,Educación,2,1,2023-11-14
Pereira,Educación,2,3,2023-06-07
Bogotá,Educación,2,3,2024-05-08
Manizales,Seguridad,3,1,2023-07-19
Bucaramanga,Medio Ambiente,4,3,2024-09-19
Bucaramanga,Medio Ambiente,4,1,2024-06-20
Santa Marta,Educación,2,3,2024-10-22
Santa Marta,Educación,2,3,2023-10-15
Barranquilla,Educación,2,2,2024-01-10
Santa Marta,Medio Ambiente,4,1,2024-01-19
Santa Marta,Medio Ambiente,4,1,2024-05-02
Pereira,Seguridad,3,4,2023-05-21
Cartagena,Salud,1,4,2024-07-30
Medellín,Seguridad,3,2,2023-03-19
Bogotá,Salud,1,1,2024-01-05
Barranquilla,Educación,2,1,2023-11-12
Santa Marta,Medio Ambiente,4,4,2023-12-27
Manizales,Salud,1,4,2023-07-04
Cartagena,Educación,2,3,2023-11-05
Medellín,Salud,1,1,2023-10-11
Medellín,Medio Ambiente,4,2,2023-03-05
Santa Marta,Salud,1,1,2023-10-02
Manizales,Medio Ambiente,4,3,2023-02-10
Cartagena,Seguridad,3,1,2023-07-26
Cali,Seguridad,3,3,2023-09-30
Cúcuta,Educación,2,1,2023-05-29
Pereira,Educación,2,3,2023-05-25
Bogotá,Seguridad,3,4,2024-04-23
Barranquilla,Seguridad,3,4,2024-05-27
Bogotá,Seguridad,3,2,2024-05-02
Cúcuta,Seguridad,3,3,2024-02-04
Cúcuta,Medio Ambiente,4,3,2023-06-03
Barranquilla,Medio Ambiente,4,3,2023-02-14
Bogotá,Seguridad,3,1,2024-02-29
Santa Marta,Medio Ambiente,4,2,2023-09-05
Cúcuta,Medio Ambiente,4,1,2023-02-14
Bucaramanga,Educación,2,2,2024-04-16
Cali,Educación,2,4,2024-04-08
Bucaramanga,Medio Ambiente,4,2,2024-04-11
Santa Marta,Medio Ambiente,4,2,2023-09-25
Pereira,Medio Ambiente,4,2,2024-05-26
Cali,Salud,1,2,2023-02-10
Pereira,Salud,1,4,2023-06-04
Santa Marta,Salud,1,1,2023-06-01
Medellín,Medio Ambiente,4,2,2024-01-03
Santa Marta,Seguridad,3,1,2024-02-16
Cúcuta,Salud,1,3,2023-10-06
Cali,Medio Ambiente,4,2,2023-01-17
Cartagena,Salud,1,3,2023-12-29
Manizales,Salud,1,2,2024-01-01
Cúcuta,Medio Ambiente,4,3,2024-02-26
Barranquilla,Educación,2,4,2023-10-23
Cali,Seguridad,3,1,2024-08-24
Cali,Seguridad,3,2,2023-03-05
Pereira,Salud,1,4,2023-09-18
Manizales,Salud,1,2,2023-11-23
Santa Marta,Salud,1,3,2023-09-18
Medellín,Medio Ambiente,4,3,2024-08-10
Pereira,Educación,2,3,2023-06-16
Cartagena,Medio Ambiente,4,3,2023-05-30
Cartagena,Medio Ambiente,4,2,2024-05-01
Santa Marta,Medio Ambiente,4,4,2024-07-02
Cartagena,Seguridad,3,2,2024-11-03
Cali,Salud,1,2,2024-06-01
Pereira,Salud,1,1,2024-01-17
Cartagena,Salud,1,1,2024-01-21
Cali,Salud,1,2,2024-10-02
Santa Marta,Seguridad,3,2,2023-06-30
Santa Marta,Salud,1,4,2023-06-10
Bogotá,Seguridad,3,3,2023-11-13
Cali,Salud,1,2,2024-01-03
Cúcuta,Medio Ambiente,4,3,2024-11-03
Manizales,Educación,2,1,2023-09-20
Santa Marta,Educación,2,4,2024-09-03
Cali,Salud,1,3,2024-06-26
Cali,Seguridad,3,2,2023-09-25
Bucaramanga,Salud,1,1,2024-05-12
Cartagena,Educación,2,3,2024-01-19
Cali,Salud,1,1,2023-02-11
Barranquilla,Salud,1,4,2023-09-08
Cúcuta,Medio Ambiente,4,3,2023-07-30
Barranquilla,Medio Ambiente,4,3,2024-10-10
Manizales,Seguridad,3,4,2023-08-27
Cali,Educación,2,3,2024-03-23
Cartagena,Salud,1,3,2023-08-31
Santa Marta,Educación,2,2,2023-03-12
Cúcuta,Seguridad,3,3,2024-02-09
Cali,Educación,2,3,2023-10-31
Cúcuta,Medio Ambiente,4,3,2024-03-15
Bucaramanga,Seguridad,3,2,2023-03-07
Barranquilla,Salud,1,4,2023-11-07
Pereira,Educación,2,2,2024-11-15
Pereira,Medio Ambiente,4,4,2023-01-24
Santa Marta,Educación,2,2,2023-10-28
Pereira,Educación,2,3,2023-10-14
Santa Marta,Salud,1,1,2024-11-25
Pereira,Educación,2,3,2023-02-07
Bogotá,Medio Ambiente,4,2,2023-07-26
Cali,Medio Ambiente,4,3,2024-06-21
Bogotá,Seguridad,3,4,2024-04-26
Cali,Medio Ambiente,4,1,2023-10-30
Pereira,Medio Ambiente,4,1,2023-07-11
Santa Marta,Salud,1,3,2023-03-18
Medellín,Educación,2,2,2023-04-04
Pereira,Seguridad,3,2,2024-05-07
Cúcuta,Educación,2,2,2023-03-12
Santa Marta,Educación,2,4,2024-06-28
Cartagena,Medio Ambiente,4,4,2024-11-14
Pereira,Medio Ambiente,4,4,2023-08-01
Pereira,Medio Ambiente,4,2,2024-09-07
Cartagena,Medio Ambiente,4,4,2024-10-22
Cali,Medio Ambiente,4,2,2024-03-14
Cali,Salud,1,4,2023-01-10
Cali,Educación,2,3,2024-05-08
Santa Marta,Educación,2,2,2023-08-05
Manizales,Medio Ambiente,4,4,2023-12-16
Cartagena,Medio Ambiente,4,2,2024-09-21
Pereira,Educación,2,4,2023-06-24
Barranquilla,Salud,1,2,2024-04-15
Barranquilla,Medio Ambiente,4,4,2024-09-07
Cartagena,Educación,2,3,2023-01-07
Manizales,Seguridad,3,1,2023-08-23
Bogotá,Medio Ambiente,4,3,2023-09-06
Bucaramanga,Educación,2,3,2024-03-15
