Ciudad,Comentario,Categoría del problema,Categoria numerica,Nivel de urgencia,Fecha del reporte
Cúcuta,las calles están muy oscuras y peligrosas.,Seguridad,3,3,2023-09-01
Cúcuta,hay problemas con la recolección de basura.,Medio Ambiente,4,4,2024-07-27
Bogotá,no hay suficientes escuelas públicas.,Educación,2,1,2023-11-18
Cartagena,faltan médicos en el centro de salud.,Salud,1,1,2023-05-09
Manizales,la contaminación del río está aumentando.,Medio Ambiente,4,4,2023-01-18
Barranquilla,necesitamos más acceso a internet en la zona.,Educación,2,2,2024-01-03
Pereira,queremos más presencia policial.,Seguridad,3,1,2023-11-26
Cartagena,faltan médicos en el centro de salud.,Salud,1,4,2024-04-19
Santa Marta,faltan médicos en el centro de salud.,Salud,1,3,2024-05-08
Bucaramanga,la contaminación del río está aumentando.,Medio Ambiente,4,3,2024-06-02
Manizales,no tenemos centros culturales ni bibliotecas.,Educación,2,2,2023-06-30
Cartagena,hay problemas con la recolección de basura.,Medio Ambiente,4,3,2023-09-21
Cartagena,no tenemos centros culturales ni bibliotecas.,Educación,2,4,2024-04-21
Santa Marta,hay problemas con la recolección de basura.,Medio Ambiente,4,3,2024-08-30
Cartagena,faltan médicos en el centro de salud.,Salud,1,3,2024-05-06
Santa Marta,las basuras no se recogen a tiempo.,Medio Ambiente,4,2,2023-12-01
Cúcuta,la contaminación del río está aumentando.,Medio Ambiente,4,1,2023-12-31
Medellín,no tenemos centros culturales ni bibliotecas.,Educación,2,2,2023-02-24
Cartagena,necesitamos más acceso a internet en la zona.,Educación,2,2,2023-05-07
Cúcuta,no tenemos centros culturales ni bibliotecas.,Educación,2,4,2024-04-09
Medellín,necesitamos más acceso a internet en la zona.,Educación,2,4,2024-10-05
Pereira,no hay suficientes escuelas públicas.,Educación,2,1,2024-09-24
Cúcuta,queremos más presencia policial.,Seguridad,3,2,2023-07-08
Cúcuta,faltan médicos en el centro de salud.,Salud,1,3,2023-08-01
Cartagena,la contaminación del río está aumentando.,Medio Ambiente,4,3,2024-02-26
Cali,hay problemas con la recolección de basura.,Medio Ambiente,4,3,2024-07-28
Manizales,la contaminación del río está aumentando.,Medio Ambiente,4,2,2024-03-21
Cúcuta,necesitamos más acceso a internet en la zona.,Educación,2,4,2023-06-20
Bucaramanga,no hay suficientes escuelas públicas.,Educación,2,1,2023-06-14
Manizales,hay problemas con la recolección de basura.,Medio Ambiente,4,3,2024-11-28
Bucaramanga,necesitamos más acceso a internet en la zona.,Educación,2,1,2024-02-04
Bogotá,las calles están muy oscuras y peligrosas.,Seguridad,3,1,2024-01-30
Pereira,la contaminación del río está aumentando.,Medio Ambiente,4,2,2024-11-14
Bucaramanga,las calles están muy oscuras y peligrosas.,Seguridad,3,2,2023-04-24
Cali,necesitamos más acceso a internet en la zona.,Educación,2,4,2024-08-14
Santa Marta,necesitamos más acceso a internet en la zona.,Educación,2,3,2023-05-20
Cartagena,las calles están muy oscuras y peligrosas.,Seguridad,3,2,2024-08-15
Cali,las calles están muy oscuras y peligrosas.,Seguridad,3,1,2023-03-07
Manizales,falta agua potable en varias casas.,Salud,1,2,2024-11-02
Pereira,las calles están muy oscuras y peligrosas.,Seguridad,3,3,2024-08-19
Bogotá,falta agua potable en varias casas.,Salud,1,2,2023-07-24
Barranquilla,las calles están muy oscuras y peligrosas.,Seguridad,3,4,2023-01-09
Cúcuta,necesitamos más acceso a internet en la zona.,Educación,2,1,2023-04-29
Cartagena,queremos más presencia policial.,Seguridad,3,1,2024-01-13
Cali,las calles están muy oscuras y peligrosas.,Seguridad,3,4,2023-07-26
Medellín,la contaminación del río está aumentando.,Medio Ambiente,4,3,2024-02-07
Cartagena,las calles están muy oscuras y peligrosas.,Seguridad,3,1,2023-01-04
Cali,las calles están muy oscuras y peligrosas.,Seguridad,3,1,2023-03-17
Bucaramanga,las basuras no se recogen a tiempo.,Medio Ambiente,4,4,2023-09-19
Cali,necesitamos más acceso a internet en la zona.,Educación,2,2,2023-02-16
Manizales,faltan médicos en el centro de salud.,Salud,1,1,2024-07-23
Barranquilla,hay problemas con la recolección de basura.,Medio Ambiente,4,4,2024-03-25
Cúcuta,la contaminación del río está aumentando.,Medio Ambiente,4,3,2024-07-25
Manizales,no hay suficientes escuelas públicas.,Educación,2,3,2023-03-27
Cúcuta,queremos más presencia policial.,Seguridad,3,3,2023-09-01
Santa Marta,queremos más presencia policial.,Seguridad,3,3,2023-06-11
Manizales,no tenemos centros culturales ni bibliotecas.,Educación,2,3,2023-09-22
Barranquilla,queremos más presencia policial.,Seguridad,3,2,2024-08-07
Bogotá,las basuras no se recogen a tiempo.,Medio Ambiente,4,2,2023-10-21
Santa Marta,faltan médicos en el centro de salud.,Salud,1,2,2023-04-28
Pereira,hay problemas con la recolección de basura.,Medio Ambiente,4,1,2023-04-08
Barranquilla,las calles están muy oscuras y peligrosas.,Seguridad,3,3,2024-10-23
Manizales,la contaminación del río está aumentando.,Medio Ambiente,4,1,2024-06-21
Pereira,no tenemos centros culturales ni bibliotecas.,Educación,2,3,2023-07-05
Bogotá,hay problemas con la recolección de basura.,Medio Ambiente,4,1,2024-01-14
Cartagena,las calles están muy oscuras y peligrosas.,Seguridad,3,1,2024-09-25
Cali,falta agua potable en varias casas.,Salud,1,4,2023-04-09
Santa Marta,necesitamos más acceso a internet en la zona.,Educación,2,1,2024-02-26
Manizales,queremos más presencia policial.,Seguridad,3,1,2023-10-15
Pereira,necesitamos más acceso a internet en la zona.,Educación,2,4,2024-08-26
Bucaramanga,queremos más presencia policial.,Seguridad,3,2,2023-07-28
Barranquilla,las basuras no se recogen a tiempo.,Medio Ambiente,4,4,2024-04-02
Bogotá,faltan médicos en el centro de salud.,Salud,1,3,2023-12-10
Bucaramanga,no hay suficientes escuelas públicas.,Educación,2,4,2024-01-29
Medellín,las calles están muy oscuras y peligrosas.,Seguridad,3,4,2023-03-26
Cartagena,queremos más presencia policial.,Seguridad,3,2,2024-05-13
Cali,queremos más presencia policial.,Seguridad,3,2,2024-06-14
Manizales,no hay suficientes escuelas públicas.,Educación,2,3,2024-07-21
Pereira,no hay suficientes escuelas públicas.,Educación,2,3,2023-04-09
Manizales,no tenemos centros culturales ni bibliotecas.,Educación,2,1,2023-09-28
Medellín,no tenemos centros culturales ni bibliotecas.,Educación,2,4,2023-03-04
Cartagena,faltan médicos en el centro de salud.,Salud,1,4,2023-05-02
Cúcuta,las basuras no se recogen a tiempo.,Medio Ambiente,4,1,2023-08-20
Cúcuta,no hay suficientes escuelas públicas.,Educación,2,1,2024-10-15
Bogotá,necesitamos más acceso a internet en la zona.,Educación,2,1,2023-11-03
Medellín,no hay suficientes escuelas públicas.,Educación,2,1,2023-12-14
Cúcuta,queremos más presencia policial.,Seguridad,3,1,2023-09-30
Cúcuta,no tenemos centros culturales ni bibliotecas.,Educación,2,3,2024-10-27
Cúcuta,falta agua potable en varias casas.,Salud,1,1,2023-10-09
Cali,no tenemos centros culturales ni bibliotecas.,Educación,2,2,2024-09-23
Cartagena,necesitamos más acceso a internet en la zona.,Educación,2,1,2023-11-04
Medellín,queremos más presencia policial.,Seguridad,3,4,2023-08-28
Barranquilla,falta agua potable en varias casas.,Salud,1,4,2024-05-06
Manizales,las basuras no se recogen a tiempo.,Medio Ambiente,4,1,2024-08-26
Bogotá,queremos más presencia policial.,Seguridad,3,4,2024-05-18
Cúcuta,faltan médicos en el centro de salud.,Salud,1,2,2024-01-01
Bogotá,la contaminación del río está aumentando.,Medio Ambiente,4,3,2023-06-21
Cali,queremos más presencia policial.,Seguridad,3,3,2023-04-06
Barranquilla,falta agua potable en varias casas.,Salud,1,2,2024-07-17
Bucaramanga,no tenemos centros culturales ni bibliotecas.,Educación,2,1,2024-04-22
Cali,hay problemas con la recolección de basura.,Medio Ambiente,4,2,2023-10-07
Bogotá,falta agua potable en varias casas.,Salud,1,2,2024-08-19
Pereira,las basuras no se recogen a tiempo.,Medio Ambiente,4,2,2023-12-23
Cartagena,hay problemas con la recolección de basura.,Medio Ambiente,4,4,2023-12-05
Pereira,no hay suficientes escuelas públicas.,Educación,2,1,2024-11-05
Santa Marta,necesitamos más acceso a internet en la zona.,Educación,2,3,2023-01-12
Cartagena,hay problemas con la recolección de basura.,Medio Ambiente,4,3,2024-05-19
Bucaramanga,falta agua potable en varias casas.,Salud,1,2,2024-01-07
Bogotá,queremos más presencia policial.,Seguridad,3,1,2024-09-08
Bucaramanga,hay problemas con la recolección de basura.,Medio Ambiente,4,4,2024-06-07
Bogotá,hay problemas con la recolección de basura.,Medio Ambiente,4,4,2024-05-28
Manizales,necesitamos más acceso a internet en la zona.,Educación,2,4,2024-10-24
Manizales,no tenemos centros culturales ni bibliotecas.,Educación,2,4,2024-06-02
Cartagena,faltan médicos en el centro de salud.,Salud,1,1,2023-01-02
Bogotá,falta agua potable en varias casas.,Salud,1,2,2023-01-18
Medellín,queremos más presencia policial.,Seguridad,3,4,2024-03-30
Barranquilla,la contaminación del río está aumentando.,Medio Ambiente,4,4,2023-01-18
Cali,la contaminación del río está aumentando.,Medio Ambiente,4,2,2023-12-01
Manizales,queremos más presencia policial.,Seguridad,3,4,2024-07-19
Cartagena,no hay suficientes escuelas públicas.,Educación,2,1,2024-09-03
Barranquilla,faltan médicos en el centro de salud.,Salud,1,2,2023-10-02
Cali,necesitamos más acceso a internet en la zona.,Educación,2,4,2024-04-07
Santa Marta,la contaminación del río está aumentando.,Medio Ambiente,4,3,2024-08-16
Santa Marta,las basuras no se recogen a tiempo.,Medio Ambiente,4,3,2023-04-18
Medellín,no tenemos centros culturales ni bibliotecas.,Educación,2,2,2024-06-19
Barranquilla,faltan médicos en el centro de salud.,Salud,1,3,2023-11-06
